Country,density,land_area_m,agricultural_land,birth_rate,fertility_rate,life_expectancy,proportion_forested,population_m,urban_population_m,co2_emissions
Afghanistan,60.0,0.65223,0.581,32.49,4.47,64.5,0.021,38.041754,9.797273,8672.0
Albania,105.0,0.028748,0.431,11.78,1.62,78.5,0.281,2.854191,1.747593,4536.0
Algeria,18.0,2.381741,0.174,24.28,3.02,76.7,0.008,43.053054,31.5101,150006.0
Angola,26.0,1.2467,0.475,40.73,5.52,60.8,0.46299999999999997,31.825295,21.061025,34693.0
Antigua and Barbuda,223.0,0.000443,0.205,15.33,1.99,76.9,0.223,0.097118,0.0238,557.0
Argentina,17.0,2.7804,0.5429999999999999,17.02,2.26,76.5,0.098,44.938712,41.339571,201348.0
Armenia,104.0,0.029743,0.589,13.99,1.76,74.9,0.11699999999999999,2.957731,1.869848,5156.0
Australia,3.0,7.74122,0.48200000000000004,12.6,1.74,82.7,0.163,25.766605,21.844756,375908.0
Austria,109.0,0.083871,0.324,9.7,1.47,81.6,0.469,8.877067,5.194416,61448.0
Azerbaijan,123.0,0.0866,0.5770000000000001,14.0,1.73,72.9,0.141,10.023318,5.616165,37620.0
The Bahamas,39.0,0.01388,0.013999999999999999,13.97,1.75,73.8,0.514,0.389482,0.323784,1786.0
Bahrain,2239.0,0.000765,0.111,13.99,1.99,77.2,0.008,1.501635,1.467109,31694.0
Bangladesh,1265.0,0.14846,0.706,18.18,2.04,72.3,0.11,167.310838,60.987417,84246.0
Barbados,668.0,0.00043,0.233,10.65,1.62,79.1,0.147,0.287025,0.089431,1276.0
Belarus,47.0,0.2076,0.42,9.9,1.45,74.2,0.426,9.466856,7.482982,58280.0
Belgium,383.0,0.030528,0.446,10.3,1.62,81.6,0.226,11.484055,11.259082,96889.0
Belize,17.0,0.022966,0.07,20.79,2.31,74.5,0.597,0.390353,0.179039,568.0
Benin,108.0,0.112622,0.33299999999999996,36.22,4.84,61.5,0.37799999999999995,11.801151,5.648149,6476.0
Bhutan,20.0,0.038394,0.136,17.26,1.98,71.5,0.725,0.727145,0.317538,1261.0
Bolivia,11.0,1.098581,0.348,21.75,2.73,71.2,0.503,11.5131,8.033035,21606.0
Bosnia and Herzegovina,64.0,0.051197,0.431,8.11,1.27,77.3,0.42700000000000005,3.301,1.605144,21848.0
Botswana,4.0,0.58173,0.456,24.82,2.87,69.3,0.18899999999999997,2.346179,1.61655,6340.0
Brazil,25.0,8.51577,0.33899999999999997,13.92,1.73,75.7,0.589,212.559417,183.241641,462299.0
Brunei,83.0,0.005765,0.027000000000000003,14.9,1.85,75.7,0.721,0.433285,0.337711,7664.0
Bulgaria,64.0,0.110879,0.46299999999999997,8.9,1.56,74.9,0.354,6.975761,5.256027,41708.0
